,model,dataset,germaniconly,genre_map,chunked,withpunkt,balanced,academic,advertisement,fiction,guide,legal,news,nonfiction,accuracy,macro_F1,weighted_F1
0,mbert,FTD,True,4,True,True,False,0.6716417910447762,0.6842105263157895,0.4146341463414634,0.5471698113207547,0.8524590163934426,0.3888888888888889,0.5843621399176955,0.6134831460674157,0.5919094743175444,0.6244926810085532
1,hmbert,FTD,False,4,True,True,False,0.25806451612903225,0.7203065134099617,0.45,0.375,1.0,0.43243243243243246,0.5387453874538746,0.5707865168539326,0.5392212642036144,0.5557177666228202
2,hmbert,FTD,True,4,True,True,True,0.2857142857142857,0.38372093023255816,0.44660194174757284,0.32857142857142857,0.8070175438596491,0.3684210526315789,0.43724696356275305,0.40898876404494383,0.436756306617118,0.41301243763056994
3,mbert,FTD,False,4,True,True,False,0.7151515151515152,0.7722007722007722,0.43010752688172044,0.4691358024691358,0.9014084507042254,0.36363636363636365,0.5829145728643216,0.6561797752808989,0.6049364291297221,0.6526477247928134
4,xlmr,FTD,True,4,True,True,True,0.5,0.7296137339055794,0.4722222222222222,0.4720496894409938,0.9206349206349206,0.2857142857142857,0.5660377358490566,0.5932584269662922,0.5637532268238654,0.6059114043049897
5,mbert,FTD,False,4,True,True,True,0.5371428571428571,0.5714285714285714,0.36363636363636365,0.42857142857142855,0.7857142857142857,0.35294117647058826,0.49372384937238495,0.5123595505617977,0.5047369331909257,0.5239059949527611
6,xlmr,FTD,False,4,True,True,False,0.5833333333333334,0.8372093023255814,0.4523809523809524,0.7128712871287128,0.8823529411764706,0.2222222222222222,0.6188340807174888,0.6764044943820224,0.6156005884692517,0.6847880805797175
7,xlmr,FTD,False,4,True,True,True,0.618421052631579,0.6210045662100456,0.5384615384615384,0.5625,0.8656716417910447,0.34285714285714286,0.5402843601895735,0.5932584269662922,0.5841714717344176,0.5986652184409217
8,hmbert,FTD,False,4,True,True,True,0.4094488188976378,0.5970149253731343,0.4528301886792453,0.36363636363636365,0.8852459016393442,0.4166666666666667,0.47509578544061304,0.503370786516854,0.5142769500475721,0.5165497307366277
9,hmbert,FTD,True,4,True,True,False,0.5373134328358209,0.5523809523809524,0.38461538461538464,0.2716049382716049,0.9032258064516129,0.3157894736842105,0.421455938697318,0.48089887640449436,0.4837694181338435,0.49247082007686677
10,mbert,FTD,True,4,True,True,True,0.5287356321839081,0.44680851063829785,0.40476190476190477,0.4444444444444444,0.75,0.24,0.4931506849315068,0.48314606741573035,0.47255731099429454,0.48526827563037495
11,xlmr,FTD,True,4,True,True,False,0.5740740740740741,0.7782426778242678,0.49382716049382713,0.5238095238095238,0.8923076923076924,0.25,0.5076142131979695,0.6089887640449438,0.5742679059581935,0.6218622293856007
